"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 12 04:57:48 MSK 2021","Sun Dec 12 04:57:49 MSK 2021","334","","praktikum.order.ReturnOrderTest","","praktikum.order.ReturnOrderTest","returnOrderList","Check order list","Return order list"
"passed","Sun Dec 12 04:57:46 MSK 2021","Sun Dec 12 04:57:47 MSK 2021","137","","praktikum.courier.CourierAuthorizationValidationTest","","praktikum.courier.CourierAuthorizationValidationTest","invalidRequestIsNotLogIn[1]","Check courier authorization without filling in the required fields","Courier can not be log in with only login, with only password, with a non-existent username and password"
"failed","Sun Dec 12 04:57:47 MSK 2021","Sun Dec 12 04:57:47 MSK 2021","217","","praktikum.courier.CourierCreateTest","","praktikum.courier.CourierCreateTest","duplicateCourierCannotBeCreated","Check duplicate courier can not be created","Creating a courier with the first name, login and password of an existing courier"
"passed","Sun Dec 12 04:56:43 MSK 2021","Sun Dec 12 04:56:46 MSK 2021","3351","","praktikum.courier.CourierAuthorizationTest","","praktikum.courier.CourierAuthorizationTest","checkCourierCanBeLogInTest","Check courier authorization","Authorize the courier"
"passed","Sun Dec 12 04:57:48 MSK 2021","Sun Dec 12 04:57:48 MSK 2021","132","","praktikum.order.OrderCreateTest","","praktikum.order.OrderCreateTest","orderCanBeCreated[2]","Check order can be created","Creating order"
"passed","Sun Dec 12 04:57:47 MSK 2021","Sun Dec 12 04:57:48 MSK 2021","247","","praktikum.courier.CourierCreateTest","","praktikum.courier.CourierCreateTest","checkCourierCanBeCreatedTest","Check creating new courier","Creating new courier"
"passed","Sun Dec 12 04:57:47 MSK 2021","Sun Dec 12 04:57:47 MSK 2021","170","","praktikum.courier.CourierCreateRequestValidationTest","","praktikum.courier.CourierCreateRequestValidationTest","invalidRequestIsNotAllowedWithLoginOnly[2]","Check creating new courier without login or password or first name","Creating new courier with only login, with only password, with login and password without first name"
"passed","Sun Dec 12 04:57:47 MSK 2021","Sun Dec 12 04:57:47 MSK 2021","116","","praktikum.courier.CourierCreateRequestValidationTest","","praktikum.courier.CourierCreateRequestValidationTest","invalidRequestIsNotAllowedWithLoginOnly[0]","Check creating new courier without login or password or first name","Creating new courier with only login, with only password, with login and password without first name"
"broken","Sun Dec 12 04:56:46 MSK 2021","Sun Dec 12 04:57:46 MSK 2021","60127","","praktikum.courier.CourierAuthorizationValidationTest","","praktikum.courier.CourierAuthorizationValidationTest","invalidRequestIsNotLogIn[0]","Check courier authorization without filling in the required fields","Courier can not be log in with only login, with only password, with a non-existent username and password"
"passed","Sun Dec 12 04:57:47 MSK 2021","Sun Dec 12 04:57:47 MSK 2021","185","","praktikum.courier.CourierAuthorizationValidationTest","","praktikum.courier.CourierAuthorizationValidationTest","invalidRequestIsNotLogIn[2]","Check courier authorization without filling in the required fields","Courier can not be log in with only login, with only password, with a non-existent username and password"
"passed","Sun Dec 12 04:57:47 MSK 2021","Sun Dec 12 04:57:47 MSK 2021","131","","praktikum.courier.CourierCreateRequestValidationTest","","praktikum.courier.CourierCreateRequestValidationTest","invalidRequestIsNotAllowedWithLoginOnly[1]","Check creating new courier without login or password or first name","Creating new courier with only login, with only password, with login and password without first name"
"passed","Sun Dec 12 04:57:48 MSK 2021","Sun Dec 12 04:57:48 MSK 2021","184","","praktikum.order.OrderCreateTest","","praktikum.order.OrderCreateTest","orderCanBeCreated[0]","Check order can be created","Creating order"
"passed","Sun Dec 12 04:57:48 MSK 2021","Sun Dec 12 04:57:48 MSK 2021","137","","praktikum.order.OrderCreateTest","","praktikum.order.OrderCreateTest","orderCanBeCreated[1]","Check order can be created","Creating order"
"passed","Sun Dec 12 04:57:48 MSK 2021","Sun Dec 12 04:57:48 MSK 2021","148","","praktikum.order.OrderCreateTest","","praktikum.order.OrderCreateTest","orderCanBeCreated[3]","Check order can be created","Creating order"
